Error: missing newline in D:\finish\UC3_Buy\..\Parameter\Parameters.dat	[MsgId: MERR-13874]
Action.c(481): Error -27776: [GENERAL_MSG_CAT_SSL_ERROR]connect to host "www.advantageonlineshopping.com" failed: [10054] Connection reset by peer
This is probably because the SSL protocol version is not supported. Try switching the TLS/SSL version using "web_set_sockets_option" API.  	[MsgId: MERR-27776]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(27): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(30): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Action.c(30): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Action.c(33): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Action.c(33): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(36): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(36): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(39): web_url("www.advantageonlineshopping.com") started  	[MsgId: MMSG-26355]
Action.c(39): Error -27760: Request "https://www.advantageonlineshopping.com/" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 21.	[MsgId: MMSG-10545]
Action.c(27): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(30): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Action.c(30): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Action.c(33): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Action.c(33): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(36): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(36): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(39): web_url("www.advantageonlineshopping.com") started  	[MsgId: MMSG-26355]
Action.c(39): Error -27760: Request "https://www.advantageonlineshopping.com/" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(27): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(30): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Action.c(30): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Action.c(33): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Action.c(33): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(36): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(36): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(39): web_url("www.advantageonlineshopping.com") started  	[MsgId: MMSG-26355]
Action.c(39): Error -27760: Request "https://www.advantageonlineshopping.com/" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 21.	[MsgId: MMSG-10545]
Action.c(27): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(30): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Action.c(30): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Action.c(33): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Action.c(33): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(36): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(36): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(39): web_url("www.advantageonlineshopping.com") started  	[MsgId: MMSG-26355]
Action.c(39): Error -27760: Request "https://www.advantageonlineshopping.com/" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 21.	[MsgId: MMSG-10545]
Action.c(131): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(131): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(133): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(133): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(135): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(135): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(137): web_url("categories") started  	[MsgId: MMSG-26355]
Action.c(137): web_url("categories") was successful, 4482 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(146): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(148): web_url("search") started  	[MsgId: MMSG-26355]
Action.c(148): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(131): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(131): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(133): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(133): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(135): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(135): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(137): web_url("categories") started  	[MsgId: MMSG-26355]
Action.c(137): web_url("categories") was successful, 4474 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(146): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(148): web_url("search") started  	[MsgId: MMSG-26355]
Action.c(148): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 21.	[MsgId: MMSG-10545]
Action.c(39): web_url("www.advantageonlineshopping.com") highest severity level was "warning", 2416910 body bytes, 18508 header bytes  	[MsgId: MMSG-26388]
Action.c(92): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(92): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(95): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(95): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(98): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(98): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(101): web_url("ALL") started  	[MsgId: MMSG-26355]
Action.c(101): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(39): web_url("www.advantageonlineshopping.com") highest severity level was "warning", 2418472 body bytes, 18508 header bytes  	[MsgId: MMSG-26388]
Action.c(92): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(92): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(95): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(95): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(98): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(98): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(101): web_url("ALL") started  	[MsgId: MMSG-26355]
Action.c(101): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 24.	[MsgId: MMSG-10545]
Action.c(133): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(135): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(135): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(137): web_url("categories") started  	[MsgId: MMSG-26355]
Action.c(137): web_url("categories") was successful, 4473 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(146): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(148): web_url("search") started  	[MsgId: MMSG-26355]
Action.c(148): web_url("search") was successful, 351 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(157): web_url("popularProducts.json") started  	[MsgId: MMSG-26355]
Action.c(157): Error -27760: Request "https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 24.	[MsgId: MMSG-10545]
Start auto log messages stack - Iteration 11.	[MsgId: MMSG-10545]
Action.c(225): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(232): web_url("{userId}") started  	[MsgId: MMSG-26355]
Action.c(232): web_url("{userId}") was successful, 110 body bytes, 455 header bytes  	[MsgId: MMSG-26386]
Action.c(225): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(241): Notify: Transaction "login" ended with a "Pass" status (Duration: 6,8807 Think Time: 4,9998 Wasted Time: 0,0000).	[MsgId: MMSG-16870]
Action.c(232): web_url("{userId}") started  	[MsgId: MMSG-26355]
Action.c(243): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(232): web_url("{userId}") was successful, 248 body bytes, 455 header bytes  	[MsgId: MMSG-26386]
Action.c(245): Notify: Transaction "click_product" started.	[MsgId: MMSG-16999]
Action.c(246): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(246): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(249): web_url("products") started  	[MsgId: MMSG-26355]
Action.c(241): Notify: Transaction "login" ended with a "Pass" status (Duration: 7,0760 Think Time: 5,0147 Wasted Time: 0,0000).	[MsgId: MMSG-16870]
Action.c(249): ssl_handle_status encounter error : SSL_ERROR_SYSCALL, error id : 0  	[MsgId: MMSG-26000]
Action.c(249): Error -27776: [GENERAL_MSG_CAT_SSL_ERROR]connect to host "www.advantageonlineshopping.com" failed: [10054] Connection reset by peer
This is probably because the SSL protocol version is not supported. Try switching the TLS/SSL version using "web_set_sockets_option" API.  	[MsgId: MERR-27776]
Action.c(243): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(245): Notify: Transaction "click_product" started.	[MsgId: MMSG-16999]
Action.c(246): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(246): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(249): web_url("products") started  	[MsgId: MMSG-26355]
Action.c(249): ssl_handle_status encounter error : SSL_ERROR_SYSCALL, error id : 0  	[MsgId: MMSG-26000]
Action.c(249): Error -27776: [GENERAL_MSG_CAT_SSL_ERROR]connect to host "www.advantageonlineshopping.com" failed: [10054] Connection reset by peer
This is probably because the SSL protocol version is not supported. Try switching the TLS/SSL version using "web_set_sockets_option" API.  	[MsgId: MERR-27776]
Action.c(249): Error -26366: "Text=SPEAKERS" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(249): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Action.c(249): Error -26366: "Text=SPEAKERS" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(249): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 11.	[MsgId: MMSG-10545]
Action.c(332): web_submit_data("414141") was successful, 214 body bytes, 572 header bytes  	[MsgId: MMSG-26386]
Action.c(343): Notify: Transaction "add_to_cart" ended with a "Pass" status (Duration: 6,7737 Think Time: 5,0074 Wasted Time: 0,0000).	[MsgId: MMSG-16870]
Action.c(345): Notify: Transaction "chekout" started.	[MsgId: MMSG-16999]
Action.c(347): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(347): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(350): web_add_auto_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(350): web_add_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(353): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(355): web_custom_request("GetAccountByIdRequest") started  	[MsgId: MMSG-26355]
Action.c(355): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/GetAccountByIdRequest" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 11.	[MsgId: MMSG-10545]
Action.c(187): web_add_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(190): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(191): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(191): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(193): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(193): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(198): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(198): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(204): web_custom_request("AccountLoginRequest") started  	[MsgId: MMSG-26355]
Action.c(204): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLoginRequest" failed  	[MsgId: MERR-27760]
Action.c(204): Error -26366: "Text=Login Successful" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(204): Error -26377: No match found for the requested parameter "userId". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 0 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
Action.c(204): Error -26377: No match found for the requested parameter "Authorization". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 0 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
Action.c(204): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 11.	[MsgId: MMSG-10545]
Action.c(321): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(324): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(324): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(324): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(327): web_add_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(327): web_add_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(330): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(332): web_submit_data("414141") started  	[MsgId: MMSG-26355]
Action.c(332): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/565977180/product/20/color/414141?quantity=1" failed  	[MsgId: MERR-27760]
Action.c(332): Error -26366: "Text=productsInCart" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(332): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 12.	[MsgId: MMSG-10545]
Action.c(384): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(385): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(385): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(385): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(388): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(388): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(393): web_url("{userId}_2") started  	[MsgId: MMSG-26355]
Action.c(393): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/276697653" failed  	[MsgId: MERR-27760]
Action.c(393): Error -26377: No match found for the requested parameter "sessionId". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 0 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
Action.c(393): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 25.	[MsgId: MMSG-10545]
Action.c(456): web_custom_request("GetCountriesRequest") was successful, 4184 body bytes, 761 header bytes  	[MsgId: MMSG-26386]
Action.c(468): Notify: Transaction "chekout" ended with a "Pass" status (Duration: 8,1760 Think Time: 5,0011 Wasted Time: 0,0000).	[MsgId: MMSG-16870]
Action.c(469): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(474): Notify: Transaction "pay_now" started.	[MsgId: MMSG-16999]
Action.c(476): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(476): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(479): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(481): web_custom_request("UpdateMasterCreditMethodRequest") started  	[MsgId: MMSG-26355]
Action.c(481): Connection to www.googletagmanager.com:443 closed after being inactive for 60 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Action.c(481): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/UpdateMasterCreditMethodRequest" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 13.	[MsgId: MMSG-10545]
Action.c(249): Registered web_reg_find successful for "Text=SPEAKERS" (count=2)  	[MsgId: MMSG-26364]
Action.c(249): web_url("products") was successful, 1973 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(258): web_url("attributes") started  	[MsgId: MMSG-26355]
Action.c(258): web_url("attributes") was successful, 552 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(267): web_url("category-page.html") started  	[MsgId: MMSG-26355]
Action.c(267): web_url("category-page.html") was successful, 741 body bytes, 361 header bytes  	[MsgId: MMSG-26386]
Action.c(275): Notify: Transaction "click_product" ended with a "Pass" status (Duration: 2,3348 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(277): Notify: Transaction "find_speakers" started.	[MsgId: MMSG-16999]
Action.c(280): web_url("20") started  	[MsgId: MMSG-26355]
Action.c(280): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/products/20" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 26.	[MsgId: MMSG-10545]
Action.c(39): web_url("www.advantageonlineshopping.com") highest severity level was "warning", 2416906 body bytes, 18508 header bytes  	[MsgId: MMSG-26388]
Action.c(92): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(92): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(95): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(95): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(98): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(98): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(101): web_url("ALL") started  	[MsgId: MMSG-26355]
Action.c(101): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 26.	[MsgId: MMSG-10545]
Action.c(225): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(225): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(232): web_url("{userId}") started  	[MsgId: MMSG-26355]
Action.c(232): web_url("{userId}") was successful, 247 body bytes, 455 header bytes  	[MsgId: MMSG-26386]
Action.c(241): Notify: Transaction "login" ended with a "Pass" status (Duration: 7,1543 Think Time: 5,0130 Wasted Time: 0,0000).	[MsgId: MMSG-16870]
Action.c(243): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(245): Notify: Transaction "click_product" started.	[MsgId: MMSG-16999]
Action.c(246): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(246): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(249): web_url("products") started  	[MsgId: MMSG-26355]
Action.c(249): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/categories/4/products" failed  	[MsgId: MERR-27760]
Action.c(249): Error -26366: "Text=SPEAKERS" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(249): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


